一级产业,二级子类,代表企业,市值（亿元）,新兴企业,市值（亿元）
先进封装,ABF胶膜,生益科技 600183,3487.08,华正新材 603186,357.01
先进封装,ABF胶膜,,,莲花控股 600186,243.64
先进封装,ABF载板,深南电路 002916,2825.27,,
先进封装,ABF载板,兴森科技 002436,780.15,,
PCB,高阶AI PCB,胜宏科技 300476,2400.94,,
PCB,高阶AI PCB,方正科技 600601,643.63,,
PCB,特种电子布,宏和科技 603256,1418.39,,
半导体设备与零部件,MFC,高凯技术 688835,354.71,,
电子材料,压电陶瓷,星源材质 300568,254.22,,
半导体设备与零部件,MFC／分子泵交付,恒运昌 688785,257.94,英杰电气 300820,163.65
半导体设备与零部件,半导体零部件,富创精密 688409,589.76,超纯应材 301717,382.94
半导体设备与零部件,半导体零部件,江丰电子 300666,695.42,珂玛科技 301611,425.75
半导体设备与零部件,半导体零部件,,,新莱应材 300260,261.2
半导体设备与零部件,半导体零部件,,,正帆科技 688596,212.2
半导体设备与零部件,半导体零部件,,,臻宝科技 688797,437.73
半导体设备与零部件,半导体零部件,,,恒运昌 688785,257.94
半导体材料,含氟特气WF6/C4F6,中船特气 688146,1150.94,,
半导体材料,含氟特气WF6/C4F6,昊华科技 600378,603.72,,
半导体材料,氟化液PFPE/HFE,新宙邦 300037,545.59,,
半导体材料,高端PFA/FFKM,巨化股份 600160,946.26,,
半导体材料,高端PFA/FFKM,新宙邦 300037,545.59,,
半导体材料,含氟材料扩展映射,天赐材料 002709,669.46,三祥新材 603663,278.98
半导体材料,含氟材料扩展映射,雅克科技 002409,653.35,中巨芯-U 688549,351.3
半导体材料,含氟材料扩展映射,安集科技 688019,530.7,多氟多 002407,382.01
光通信,CPO测试设备,罗博特科 300757,1002.26,,
光通信,隔离器／滤光片,东田微 301183,251.26,,
光通信,DSP/TIA/Driver,优迅股份 688807,289.06,金字火腿 002515,93.22
半导体芯片,成熟制程芯片,富满微 300671,139.39,明微电子 688699,77.64
半导体芯片,功率半导体,扬杰科技 300373,496.57,斯达半导 603290,210.81
半导体芯片,功率半导体,华润微 688396,813.0,新洁能 605111,259.08
半导体芯片,功率半导体,士兰微 600460,560.29,,
半导体芯片,功率半导体,杰华特 688141,537.19,,
能源设备,燃机叶片,应流股份 603308,292.47,,
资源材料,钽资源／材料,东方钽业 000962,321.92,中矿资源 002738,323.48
资源材料,钽资源／材料,,,新金路 000510,124.71
资源材料,钨,中钨高新 000657,1348.01,,
资源材料,钨,厦门钨业 600549,773.31,,
资源材料,磷化铟／锗,云南锗业 002428,616.48,,
化工材料,天然橡胶,中化国际 600500,208.12,阳谷华泰 300121,44.12
化工材料,天然橡胶,,,齐翔腾达 002408,152.7
食品配料,代糖,金禾实业 002597,124.97,百龙创园 605016,90.51
食品配料,代糖,,,保龄宝 002286,33.25
食品配料,代糖,,,华康股份 605077,35.96
