来源,用户原文,证券简称,证券代码,市场,富途代码,核验状态
图片1,科伦药业,科伦药业,002422,SZ,SZ.002422,已核验
图片1,以岭药业,以岭药业,002603,SZ,SZ.002603,已核验
图片1,葵花药业,葵花药业,002737,SZ,SZ.002737,已核验
图片1,丸美生物,丸美生物,603983,SH,SH.603983,已核验
图片2,凯赛生物,凯赛生物,688065,SH,SH.688065,已核验
文字,商络,商络电子,300975,SZ,SZ.300975,已核验
文字,富信,富信科技,688662,SH,SH.688662,已核验
文字,优迅,优迅股份,688807,SH,SH.688807,已核验
文字推定,盈通,长盈通,688143,SH,SH.688143,语境推定
文字,正帆,正帆科技,688596,SH,SH.688596,已核验
文字,赛分,赛分科技,688758,SH,SH.688758,已核验
文字,诺唯赞,诺唯赞,688105,SH,SH.688105,已核验
文字,义翘神州,义翘神州,301047,SZ,SZ.301047,已核验
文字,铜陵,铜陵有色,000630,SZ,SZ.000630,已核验
文字推定,四川,四川黄金,001337,SZ,SZ.001337,语境推定
文字,浩通,浩通科技,301026,SZ,SZ.301026,已核验
后续补充,阳光电源,阳光电源,300274,SZ,SZ.300274,已核验
