ticker,name,date,close,ret1,ret20,ret60,ema10,ema20,ema55,ema200,atr_pct,vol_ratio,a6,rs_ok,heat,action,reason,buy_zone,stop,pressure,low20,score
NET,Cloudflare,2026-07-14,283.52,5.19,24.09,43.64,263.8,252.92,235.12,210.74,4.59,0.61,5,True,1,暂不追,高热度/高波动，适合持有不适合新追,249.13-256.72,247.86,284.20/284.20,212.32,88
PANW,Palo Alto Networks,2026-07-14,351.82,6.52,25.82,110.71,332.92,318.56,274.84,219.51,5.25,0.33,4,True,2,暂不追,高热度/高波动，适合持有不适合新追,313.78-323.33,312.18,368.17/368.17,274.33,71
AMAT,Applied Materials,2026-07-14,592.55,2.98,4.46,51.97,596.19,588.29,523.11,383.43,8.92,0.19,1,True,2,暂不追,高热度/高波动，适合持有不适合新追,579.47-597.11,529.11,739.67/739.67,527.63,56
TSEM,Tower Semiconductor,2026-07-14,264.68,15.24,0.67,23.25,238.23,244.3,238.39,172.67,8.27,1.59,3,False,2,暂不追,高热度/高波动，适合持有不适合新追,240.63-247.96,238.42,319.94/319.94,199.63,46
TEM,Tempus AI,2026-07-14,57.35,2.54,19.93,5.38,57.72,56.04,53.27,57.91,7.24,0.21,2,False,1,暂不追,高热度/高波动，适合持有不适合新追,55.19-56.88,52.37,63.11/63.11,46.68,43
OUST,Ouster,2026-07-14,42.26,5.57,6.18,74.84,45.13,45.17,39.78,29.8,14.82,0.22,0,True,1,暂不追,高热度/高波动，适合持有不适合新追,,38.99,63.79/63.79,39.0,33
MXL,MaxLinear,2026-07-14,92.57,3.66,9.6,296.45,93.33,92.94,81.5,47.77,13.94,0.34,0,True,2,暂不追,高热度/高波动，适合持有不适合新追,,79.87,128.30/128.30,78.1,21
SNDK,SanDisk,2026-07-14,1759.26,5.1,-11.15,91.33,1825.97,1851.25,1634.81,953.52,13.23,0.46,0,False,2,暂不追,高热度/高波动，适合持有不适合新追,,1602.11,2354.39/2354.39,1485.02,1
META,Meta Platforms,2026-07-14,656.38,-0.05,15.77,-3.03,625.42,608.9,607.09,635.19,4.19,0.26,5,False,0,暂不优先,买点不清晰,599.77-618.03,596.72,677.86/691.52,540.18,70
NU,Nu Holdings,2026-07-14,13.93,1.87,14.23,-9.75,13.57,13.3,13.36,14.32,3.71,0.62,5,False,0,暂不优先,买点不清晰,13.16-13.56,13.1,14.38/15.81,12.23,60
NVDA,NVIDIA,2026-07-14,208.87,2.62,1.79,5.3,203.4,203.42,203.75,190.21,3.22,0.32,5,False,0,暂不优先,买点不清晰,200.69-206.80,199.67,213.99/236.54,189.8,60
CGNX,Cognex,2026-07-14,65.0,1.71,2.19,18.25,65.93,65.88,63.04,52.46,5.8,0.19,0,False,0,暂不优先,买点不清晰,62.10-63.99,61.78,72.88/72.88,62.5,25
TSM,Taiwan Semiconductor,2026-07-14,422.71,0.27,-0.29,16.34,434.11,435.33,419.54,356.1,4.72,0.44,0,False,0,暂不优先,买点不清晰,413.25-425.83,411.15,479.00/479.00,419.19,25
PLTR,Palantir,2026-07-14,131.9,1.43,3.05,-7.61,128.49,128.13,133.04,145.22,5.47,0.6,5,False,0,破位观望,跌破EMA55，先等修复,131.05-135.04,130.38,138.90/163.70,106.37,40
COIN,Coinbase,2026-07-14,158.29,0.58,-0.93,-20.79,158.89,160.47,170.92,208.52,6.1,0.34,2,False,1,破位观望,跌破EMA55，先等修复,,167.5,176.48/222.35,139.18,3
INTC,Intel,2026-07-14,106.32,3.1,-14.65,55.21,113.72,117.21,108.64,72.52,8.92,0.37,0,False,1,破位观望,跌破EMA55，先等修复,107.01-110.27,106.46,142.35/142.35,101.79,3
AAOI,Applied Optoelectronics,2026-07-14,123.46,10.35,-26.97,-21.52,125.2,136.9,146.42,101.95,11.27,0.43,0,False,1,破位观望,跌破EMA55，先等修复,,143.49,196.50/233.67,109.21,3
MRVL,Marvell Technology,2026-07-14,223.22,2.61,-20.19,67.37,241.16,250.32,226.07,149.56,9.68,0.21,0,False,1,破位观望,跌破EMA55，先等修复,222.68-229.46,221.55,329.88/329.88,215.28,-7
IREN,IREN Ltd,2026-07-14,38.07,-2.33,-36.31,-20.19,42.12,45.95,49.61,44.45,11.1,0.39,0,False,1,破位观望,跌破EMA55，先等修复,,48.62,63.17/70.71,37.66,-7
